Abbreviation,Description,Reaction,GPR,Genes,Proteins,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence Score,EC Number,Notes,References
1.2.1.9-RXN_Light_c_M1,1.2.1.9-RXN_Light_c,GAP_Light_c_M1 + NADP_Light_c_M1 --> G3P_Light_c_M1 + NADPH_Light_c_M1,,,,,0,0,1000,0,,,,
1.2.1.9-RXN_Light_c_M2,1.2.1.9-RXN_Light_c,GAP_Light_c_M2 + NADP_Light_c_M2 --> G3P_Light_c_M2 + NADPH_Light_c_M2,,,,,0,0,1000,0,,,,
1.3.1.2-RXN_Dark_c_M1,1.3.1.2-RXN_Dark_c,NADPH_Dark_c_M1 + URACIL_Dark_c_M1 --> DI-H-URACIL_Dark_c_M1 + NADP_Dark_c_M1,,,,,0,0,1000,0,,,,
1.3.1.2-RXN_Dark_c_M2,1.3.1.2-RXN_Dark_c,NADPH_Dark_c_M2 + URACIL_Dark_c_M2 --> DI-H-URACIL_Dark_c_M2 + NADP_Dark_c_M2,,,,,0,0,1000,0,,,,
1.3.1.2-RXN_Light_c_M1,1.3.1.2-RXN_Light_c,NADPH_Light_c_M1 + URACIL_Light_c_M1 --> DI-H-URACIL_Light_c_M1 + NADP_Light_c_M1,,,,,0,0,1000,0,,,,
1.3.1.2-RXN_Light_c_M2,1.3.1.2-RXN_Light_c,NADPH_Light_c_M2 + URACIL_Light_c_M2 --> DI-H-URACIL_Light_c_M2 + NADP_Light_c_M2,,,,,0,0,1000,0,,,,
1.5.1.20-RXN_Dark_c_M1,1.5.1.20-RXN_Dark_c,METHYLENE-THF_Dark_c_M1 + NADH_Dark_c_M1 --> 5-METHYL-THF_Dark_c_M1 + NAD_Dark_c_M1,,,,,0,0,1000,0,,,,
1.5.1.20-RXN_Dark_c_M2,1.5.1.20-RXN_Dark_c,METHYLENE-THF_Dark_c_M2 + NADH_Dark_c_M2 --> 5-METHYL-THF_Dark_c_M2 + NAD_Dark_c_M2,,,,,0,0,1000,0,,,,
1.5.1.20-RXN_Light_c_M1,1.5.1.20-RXN_Light_c,METHYLENE-THF_Light_c_M1 + NADH_Light_c_M1 --> 5-METHYL-THF_Light_c_M1 + NAD_Light_c_M1,,,,,0,0,1000,0,,,,
1.5.1.20-RXN_Light_c_M2,1.5.1.20-RXN_Light_c,METHYLENE-THF_Light_c_M2 + NADH_Light_c_M2 --> 5-METHYL-THF_Light_c_M2 + NAD_Light_c_M2,,,,,0,0,1000,0,,,,
1.6.5.4-RXN_Dark_x_M1,1.6.5.4-RXN_Dark_x,2.0 CPD-318_Dark_x_M1 + NADH_Dark_x_M1 --> 2.0 ASCORBATE_Dark_x_M1 + NAD_Dark_x_M1,,,,,0,0,1000,0,,,,
1.6.5.4-RXN_Dark_x_M2,1.6.5.4-RXN_Dark_x,2.0 CPD-318_Dark_x_M2 + NADH_Dark_x_M2 --> 2.0 ASCORBATE_Dark_x_M2 + NAD_Dark_x_M2,,,,,0,0,1000,0,,,,
1.6.5.4-RXN_Light_x_M1,1.6.5.4-RXN_Light_x,2.0 CPD-318_Light_x_M1 + NADH_Light_x_M1 --> 2.0 ASCORBATE_Light_x_M1 + NAD_Light_x_M1,,,,,0,0,1000,0,,,,
1.6.5.4-RXN_Light_x_M2,1.6.5.4-RXN_Light_x,2.0 CPD-318_Light_x_M2 + NADH_Light_x_M2 --> 2.0 ASCORBATE_Light_x_M2 + NAD_Light_x_M2,,,,,0,0,1000,0,,,,
1.8.4.9-RXN_Dark_p_M1,1.8.4.9-RXN_Dark_p,APS_Dark_p_M1 + 2.0 GLUTATHIONE_Dark_p_M1 --> AMP_Dark_p_M1 + OXIDIZED-GLUTATHIONE_Dark_p_M1 + SO3_Dark_p_M1,,,,,0,0,1000,0,,,,
1.8.4.9-RXN_Dark_p_M2,1.8.4.9-RXN_Dark_p,APS_Dark_p_M2 + 2.0 GLUTATHIONE_Dark_p_M2 --> AMP_Dark_p_M2 + OXIDIZED-GLUTATHIONE_Dark_p_M2 + SO3_Dark_p_M2,,,,,0,0,1000,0,,,,
1.8.4.9-RXN_Light_p_M1,1.8.4.9-RXN_Light_p,APS_Light_p_M1 + 2.0 GLUTATHIONE_Light_p_M1 --> AMP_Light_p_M1 + OXIDIZED-GLUTATHIONE_Light_p_M1 + SO3_Light_p_M1,,,,,0,0,1000,0,,,,
1.8.4.9-RXN_Light_p_M2,1.8.4.9-RXN_Light_p,APS_Light_p_M2 + 2.0 GLUTATHIONE_Light_p_M2 --> AMP_Light_p_M2 + OXIDIZED-GLUTATHIONE_Light_p_M2 + SO3_Light_p_M2,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Dark_c_M1,1.8.5.1-RXN_Dark_c,2.0 GLUTATHIONE_Dark_c_M1 + L-DEHYDRO-ASCORBATE_Dark_c_M1 --> ASCORBATE_Dark_c_M1 + OXIDIZED-GLUTATHIONE_Dark_c_M1,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Dark_c_M2,1.8.5.1-RXN_Dark_c,2.0 GLUTATHIONE_Dark_c_M2 + L-DEHYDRO-ASCORBATE_Dark_c_M2 --> ASCORBATE_Dark_c_M2 + OXIDIZED-GLUTATHIONE_Dark_c_M2,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Dark_p_M1,1.8.5.1-RXN_Dark_p,2.0 GLUTATHIONE_Dark_p_M1 + L-DEHYDRO-ASCORBATE_Dark_p_M1 --> ASCORBATE_Dark_p_M1 + OXIDIZED-GLUTATHIONE_Dark_p_M1,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Dark_p_M2,1.8.5.1-RXN_Dark_p,2.0 GLUTATHIONE_Dark_p_M2 + L-DEHYDRO-ASCORBATE_Dark_p_M2 --> ASCORBATE_Dark_p_M2 + OXIDIZED-GLUTATHIONE_Dark_p_M2,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Dark_x_M1,1.8.5.1-RXN_Dark_x,2.0 GLUTATHIONE_Dark_x_M1 + L-DEHYDRO-ASCORBATE_Dark_x_M1 --> ASCORBATE_Dark_x_M1 + OXIDIZED-GLUTATHIONE_Dark_x_M1,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Dark_x_M2,1.8.5.1-RXN_Dark_x,2.0 GLUTATHIONE_Dark_x_M2 + L-DEHYDRO-ASCORBATE_Dark_x_M2 --> ASCORBATE_Dark_x_M2 + OXIDIZED-GLUTATHIONE_Dark_x_M2,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Light_c_M1,1.8.5.1-RXN_Light_c,2.0 GLUTATHIONE_Light_c_M1 + L-DEHYDRO-ASCORBATE_Light_c_M1 --> ASCORBATE_Light_c_M1 + OXIDIZED-GLUTATHIONE_Light_c_M1,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Light_c_M2,1.8.5.1-RXN_Light_c,2.0 GLUTATHIONE_Light_c_M2 + L-DEHYDRO-ASCORBATE_Light_c_M2 --> ASCORBATE_Light_c_M2 + OXIDIZED-GLUTATHIONE_Light_c_M2,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Light_p_M1,1.8.5.1-RXN_Light_p,2.0 GLUTATHIONE_Light_p_M1 + L-DEHYDRO-ASCORBATE_Light_p_M1 --> ASCORBATE_Light_p_M1 + OXIDIZED-GLUTATHIONE_Light_p_M1,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Light_p_M2,1.8.5.1-RXN_Light_p,2.0 GLUTATHIONE_Light_p_M2 + L-DEHYDRO-ASCORBATE_Light_p_M2 --> ASCORBATE_Light_p_M2 + OXIDIZED-GLUTATHIONE_Light_p_M2,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Light_x_M1,1.8.5.1-RXN_Light_x,2.0 GLUTATHIONE_Light_x_M1 + L-DEHYDRO-ASCORBATE_Light_x_M1 --> ASCORBATE_Light_x_M1 + OXIDIZED-GLUTATHIONE_Light_x_M1,,,,,0,0,1000,0,,,,
1.8.5.1-RXN_Light_x_M2,1.8.5.1-RXN_Light_x,2.0 GLUTATHIONE_Light_x_M2 + L-DEHYDRO-ASCORBATE_Light_x_M2 --> ASCORBATE_Light_x_M2 + OXIDIZED-GLUTATHIONE_Light_x_M2,,,,,0,0,1000,0,,,,
